iter	RMSE
0	1.77089114
1	1.628626715
2	1.554140448
3	1.514886437
4	1.473428351
5	1.462090171
6	1.445646915
7	1.438853602
8	1.430139648
9	1.422330979
10	1.414673223
11	1.406160181
12	1.403276756
13	1.398079559
14	1.396352201
15	1.392955863
16	1.387740458
17	1.38447356
18	1.375509321
19	1.372102997
20	1.369111417
21	1.36743201
22	1.36537014
23	1.359390485
24	1.358007889
25	1.350064716
26	1.349246383
27	1.34756077
28	1.342709074
29	1.339484079
30	1.339353523
31	1.338939095
32	1.338479111
33	1.337996523
34	1.335859932
35	1.33410141
36	1.332566593
37	1.331446382
38	1.33085461
39	1.329433646
40	1.329414455
41	1.329027746
42	1.326745219
43	1.324568542
44	1.323285518
45	1.322123955
46	1.32209263
47	1.32162055
48	1.320964662
49	1.316306721
50	1.315912813
51	1.315896989
52	1.308921759
53	1.308911707
54	1.308674382
55	1.304782221
56	1.304436185
57	1.303982234
58	1.303611236
59	1.301189395
60	1.301077683
61	1.300681669
62	1.300390276
63	1.300272733
64	1.294295114
65	1.293100698
66	1.293039341
67	1.292998286
68	1.292581299
69	1.292310831
70	1.287371023
71	1.287305481
72	1.285054434
73	1.28356316
74	1.283268816
75	1.282735223
76	1.281925716
77	1.281680805
78	1.276729932
79	1.276464306
80	1.273929838
81	1.272672218
82	1.27192948
83	1.271678235
84	1.271491546
85	1.271103371
86	1.270993786
87	1.270702112
88	1.270467329
89	1.270114466
90	1.27002173
91	1.269847681
92	1.269285959
93	1.269185816
94	1.268609913
95	1.267804381
96	1.267718155
97	1.267717298
98	1.267534448
99	1.267165645
100	1.267036758
101	1.266943526
102	1.261709212
103	1.261626786
104	1.259433127
105	1.25933311
106	1.257228907
107	1.256983735
108	1.250970511
109	1.250716154
110	1.250504882
111	1.250375376
112	1.250278248
113	1.250084886
114	1.249937625
115	1.249921333
116	1.247785992
117	1.243108363
118	1.240427355
119	1.233882201
120	1.233823832
121	1.233607442
122	1.233412022
123	1.233233038
124	1.233136463
125	1.231936892
126	1.231243823
127	1.230124716
128	1.226435899
129	1.226238217
130	1.226090145
131	1.225864923
132	1.224909918
133	1.22484379
134	1.224762152
135	1.224699379
136	1.224683499
137	1.22362314
138	1.223492471
139	1.223386243
140	1.22152186
141	1.221368064
142	1.221334202
143	1.221299964
144	1.221281931
145	1.221268817
146	1.221227832
147	1.216891958
148	1.216821962
149	1.216656006
150	1.216617358
151	1.216463225
152	1.215912076
153	1.215887424
154	1.215872322
155	1.215830686
156	1.215623985
157	1.215593634
158	1.215513446
159	1.21548102
160	1.215440406
161	1.215410144
162	1.215298831
163	1.214141613
164	1.214043848
165	1.214014352
166	1.209294265
167	1.20693019
168	1.206406076
169	1.205482207
170	1.204855914
171	1.204807582
172	1.20477862
173	1.203206584
174	1.203093192
175	1.203000283
176	1.202872082
177	1.201423254
178	1.201360452
179	1.201319264
180	1.198349325
181	1.196656133
182	1.196640884
183	1.196633331
184	1.196412365
185	1.196408971
186	1.196407202
187	1.196241952
188	1.196238557
189	1.196236931
190	1.196236023
191	1.196077636
192	1.196076632
193	1.196060515
194	1.196041575
195	1.195994848
196	1.195989396
197	1.19595735
198	1.193110758
199	1.191848059
200	1.191677809
201	1.191652559
202	1.191638207
203	1.19163691
204	1.191636334
205	1.191547525
206	1.190682894
207	1.190625963
208	1.189635409
209	1.18677322
210	1.186421356
211	1.186389679
212	1.186108258
213	1.18610088
214	1.186075994
215	1.185602924
216	1.185589366
217	1.185406539
218	1.185327059
219	1.185267024
220	1.18415799
221	1.184076494
222	1.182897339
223	1.182825187
224	1.182788722
225	1.182388455
226	1.18216623
227	1.182148811
228	1.182135552
229	1.180398071
230	1.180353729
231	1.179350716
232	1.178750187
233	1.178745334
234	1.177629333
235	1.176450086
236	1.175823168
237	1.175772572
238	1.174844673
239	1.173047094
240	1.172727939
241	1.167438886
242	1.165041188
243	1.16473634
244	1.164508733
245	1.164316406
246	1.163955246
247	1.163596481
248	1.163566395
249	1.163547615
250	1.163532276
251	1.163519346
252	1.163489602
253	1.163401496
254	1.163388663
255	1.163358964
256	1.163320267
257	1.163251523
258	1.163231164
259	1.163197527
260	1.16254816
261	1.162500087
262	1.162461213
263	1.161846145
264	1.161800947
265	1.161775541
266	1.161761065
267	1.1607547
268	1.160705764
269	1.160695562
270	1.160678954
271	1.16067166
272	1.160658205
273	1.158824454
274	1.158784864
275	1.158761761
276	1.15875021
277	1.157815289
278	1.157749628
279	1.155994248
280	1.155225614
281	1.151950166
282	1.151861425
283	1.151847471
284	1.15137077
285	1.149476221
286	1.149001325
287	1.148891494
288	1.148682609
289	1.148537139
290	1.148426417
291	1.147387568
292	1.147356508
293	1.145440239
294	1.145020821
295	1.14499804
296	1.144940786
297	1.144910859
298	1.144839461
299	1.144820324
300	1.144808332
301	1.144777951
302	1.144770506
303	1.144761611
304	1.144716389
305	1.144689554
306	1.144675961
307	1.144667116
308	1.144662869
309	1.14466072
310	1.14462194
311	1.14462134
312	1.14462109
313	1.144620041
314	1.144597002
315	1.144591155
316	1.144570314
317	1.144569764
318	1.14455647
319	1.144549723
320	1.144545475
321	1.144526883
322	1.144525734
323	1.144524934
324	1.144521235
325	1.144507191
326	1.144501843
327	1.144498445
328	1.144491497
329	1.144489248
330	1.144488099
331	1.144487449
332	1.144487049
333	1.144479602
334	1.144476653
335	1.144476153
336	1.144470455
337	1.144467706
338	1.144466357
339	1.144465707
340	1.144465307
341	1.144459209
342	1.14445706
343	1.144454311
344	1.144425721
345	1.144425071
346	1.144420872
347	1.144419323
348	1.144418373
349	1.144393381
350	1.144390432
351	1.144388182
352	1.144387183
353	1.144386033
354	1.144384833
355	1.144384133
356	1.144382484
357	1.144381384
358	1.144380235
359	1.144366938
360	1.144366338
361	1.144364889
362	1.144364389
363	1.144363789
364	1.144363389
365	1.144363089
366	1.144363089
367	1.14436219
368	1.14436219
369	1.14435999
370	1.14435899
371	1.144347993
372	1.144347494
373	1.144346594
374	1.144337396
375	1.144336646
376	1.144335946
377	1.144335047
378	1.144334497
379	1.144333547
380	1.144333297
381	1.144332197
382	1.144331797
383	1.144331448
384	1.144330548
385	1.144329848
386	1.144329848
387	1.144316201
388	1.144306803
389	1.144299905
390	1.143813857
391	1.142242251
392	1.142150652
393	1.142129767
394	1.142108982
395	1.142094357
396	1.142078681
397	1.142065908
398	1.14205519
399	1.142046074
400	1.141934623
401	1.141901511
402	1.141834784
403	1.141779776
404	1.141471673
405	1.140918542
406	1.140908664
407	1.140861885
408	1.140826837
409	1.140819767
410	1.140811443
411	1.139494656
412	1.139471363
413	1.139278625
414	1.139277822
415	1.139277621
416	1.13927742
417	1.139217569
418	1.139212296
419	1.139207828
420	1.139207727
421	1.139207727
422	1.139201752
423	1.139201702
424	1.13919653
425	1.13919201
426	1.139188044
427	1.139184579
428	1.139123216
429	1.139074405
430	1.139033225
431	1.138925196
432	1.13886181
433	1.138821828
434	1.134344046
435	1.132972082
436	1.132117941
437	1.131898026
438	1.128053778
439	1.125955157
440	1.123309041
441	1.123234945
442	1.123189314
443	1.123159775
444	1.123108029
445	1.123074515
446	1.123051187
447	1.123016551
448	1.122868672
449	1.122424818
450	1.120940138
451	1.120924268
452	1.119525588
453	1.119423495
454	1.119145527
455	1.119117517
456	1.119088586
457	1.119069162
458	1.118986862
459	1.118745396
460	1.118663123
461	1.118535535
462	1.118414018
463	1.117978987
464	1.117763454
465	1.117684436
466	1.117582789
467	1.117520086
468	1.117480825
469	1.117445299
470	1.117390473
471	1.117365286
472	1.117348187
473	1.117329449
474	1.117279123
475	1.117262125
476	1.11725209
477	1.117242925
478	1.117200889
479	1.117192339
480	1.117043433
481	1.116962981
482	1.1169511
483	1.116945108
484	1.116938808
485	1.11693297
486	1.116928105
487	1.116893381
488	1.116868387
489	1.116795964
490	1.11678951
491	1.116771122
492	1.116757856
493	1.11675176
494	1.116747201
495	1.116743565
496	1.116718926
497	1.109393202
498	1.109319156
499	1.109259854
500	1.109208697
501	1.10916677
502	1.105618885
503	1.105575476
504	1.105255831
505	1.105233628
506	1.10515273
507	1.104839797
508	1.104825145
509	1.104585244
510	1.104381756
511	1.101111797
512	1.101072055
513	1.1010453
514	1.100958639
515	1.100953755
516	1.099176888
517	1.098486031
518	1.094679752
519	1.093804495
520	1.092653462
521	1.092522417
522	1.090950276
523	1.090902298
524	1.090832084
525	1.090666153
526	1.090530726
527	1.090527788
528	1.090526162
529	1.090444016
530	1.090373143
531	1.09032792
532	1.09029854
533	1.090297648
534	1.090277659
535	1.090264909
536	1.090149739
537	1.090141133
538	1.090135781
539	1.090100204
540	1.090084094
541	1.090080578
542	1.090067512
543	1.090058906
544	1.090058591
545	1.090058381
546	1.0893682
547	1.088913947
548	1.088909219
549	1.088906383
550	1.088904596
551	1.088407055
552	1.088400275
553	1.088045513
554	1.087793183
555	1.087789344
556	1.087786294
557	1.087285242
558	1.087241627
559	1.087125189
560	1.087124295
561	1.08711977
562	1.087116244
563	1.087101669
564	1.086869382
565	1.08685854
566	1.086708426
567	1.086639888
568	1.086635888
569	1.086590246
570	1.086588667
571	1.086586666
572	1.086359272
573	1.086358008
574	1.086307563
575	1.086285025
576	1.086269912
577	1.086259644
578	1.086237947
579	1.086230048
580	1.086214408
