iter	Passed	Remaining
0	158	158486
1	370	184969
2	545	181163
3	735	183175
4	859	171127
5	922	152759
6	1120	158994
7	1257	155951
8	1320	145435
9	1572	155671
10	1772	159339
11	1982	163185
12	2110	160208
13	2222	156542
14	2421	159015
15	2485	152867
16	2611	151010
17	2815	153583
18	2898	149630
19	3081	151007
20	3139	146345
21	3316	147435
22	3529	149909
23	3608	146747
24	3820	149010
25	3946	147845
26	4037	145500
27	4070	141288
28	4250	142333
29	4310	139369
30	4485	140204
31	4699	142163
32	4907	143798
33	5041	143251
34	5127	141380
35	5333	142806
36	5390	140306
37	5456	138139
38	5563	137100
39	5760	138258
40	5896	137912
41	5948	135680
42	6165	137223
43	6362	138237
44	6417	136201
45	6497	134751
46	6685	135560
47	6764	134164
48	6968	135239
49	7163	136102
50	7363	137018
51	7569	138006
52	7664	136944
53	7859	137679
54	7915	136004
55	7997	134813
56	8200	135675
57	8408	136565
58	8479	135234
59	8617	135012
60	8721	134260
61	8922	134981
62	9054	134667
63	9158	133941
64	9374	134852
65	9474	134076
66	9708	135195
67	9920	135966
68	10131	136695
69	10267	136410
70	10335	135241
71	10553	136018
72	10637	135080
73	10759	134642
74	10990	135554
75	11108	135060
76	11320	135701
77	11381	134533
78	11440	133371
79	11559	132934
80	11800	133880
81	12006	134414
82	12056	133202
83	12126	132237
84	12310	132513
85	12539	133264
86	12744	133743
87	12801	132669
88	12858	131621
89	12957	131016
90	13131	131173
91	13212	130406
92	13433	131015
93	13508	130195
94	13595	129512
95	13668	128712
96	13731	127828
97	13792	126950
98	13861	126149
99	14014	126128
100	14109	125590
101	14177	124821
102	14235	123977
103	14443	124434
104	14650	124876
105	14861	125339
106	15205	126904
107	15277	126179
108	15496	126671
109	15610	126300
110	15760	126224
111	15847	125649
112	16290	127873
113	16376	127278
114	16443	126543
115	16708	127330
116	16797	126767
117	17047	127420
118	17258	127773
119	17329	127085
120	17512	127221
121	17591	126601
122	17683	126082
123	17765	125507
124	17862	125035
125	17928	124364
126	17990	123667
127	18105	123346
128	18251	123233
129	18351	122810
130	18484	122615
131	18560	122049
132	18692	121852
133	18847	121807
134	18992	121693
135	19258	122349
136	19345	121863
137	19410	121247
138	19512	120867
139	19693	120976
140	19781	120511
141	19846	119915
142	19946	119536
143	20024	119033
144	20081	118410
145	20231	118342
146	20343	118050
147	20426	117590
148	20492	117038
149	20570	116568
150	20986	117996
151	21052	117450
152	21168	117189
153	21400	117562
154	21487	117142
155	21688	117341
156	21748	116779
157	21954	116997
158	22128	117046
159	22339	117280
160	22418	116827
161	22677	117308
162	22737	116757
163	22801	116233
164	22870	115740
165	23105	116085
166	23228	115862
167	23285	115320
168	23371	114922
169	23441	114448
170	23494	113898
171	23590	113565
172	23749	113532
173	23834	113145
174	23908	112712
175	23984	112291
176	24084	111984
177	24289	112167
178	24388	111859
179	24457	111418
180	24546	111070
181	24648	110780
182	24731	110412
183	24858	110242
184	24938	109865
185	25006	109437
186	25142	109307
187	25349	109489
188	25445	109185
189	25524	108816
190	25687	108801
191	25749	108363
192	25871	108178
193	25927	107720
194	26038	107493
195	26125	107167
196	26199	106791
197	26420	107015
198	26487	106615
199	26681	106727
200	26769	106412
201	26861	106114
202	26934	105749
203	27007	105382
204	27065	104963
205	27172	104731
206	27305	104605
207	27403	104345
208	27500	104081
209	27569	103712
210	27632	103326
211	27694	102940
212	27751	102536
213	27796	102095
214	27867	101748
215	27915	101324
216	28015	101089
217	28205	101178
218	28318	100988
219	28515	101099
220	28734	101286
221	28939	101417
222	29068	101284
223	29300	101505
224	29406	101287
225	29496	101017
226	29709	101167
227	29817	100961
228	29898	100663
229	29966	100322
230	30062	100078
231	30144	99787
232	30221	99483
233	30354	99366
234	30414	99007
235	30587	99020
236	30642	98651
237	30701	98297
238	30762	97951
239	30952	98016
240	31181	98203
241	31265	97929
242	31398	97814
243	31526	97680
244	31576	97306
245	31834	97575
246	32065	97754
247	32290	97914
248	32424	97795
249	32492	97476
250	32590	97252
251	32777	97292
252	32877	97074
253	32941	96748
254	33181	96943
255	33235	96591
256	33286	96231
257	33507	96367
258	33573	96053
259	33778	96139
260	33848	95840
261	34001	95776
262	34111	95590
263	34195	95332
264	34266	95041
265	34339	94756
266	34398	94434
267	34479	94174
268	34548	93884
269	34655	93698
270	34734	93435
271	34784	93099
272	34848	92802
273	34918	92521
274	35025	92339
275	35113	92108
276	35325	92202
277	35404	91950
278	35472	91667
279	35542	91396
280	35612	91122
281	35686	90860
282	35876	90894
283	35936	90599
284	36014	90353
285	36375	90810
286	36513	90710
287	36589	90456
288	36644	90153
289	36862	90250
290	36943	90009
291	37022	89767
292	37077	89466
293	37137	89181
294	37508	89639
295	37722	89717
296	37806	89487
297	38232	90063
298	38341	89890
299	38500	89833
300	38746	89979
301	38805	89690
302	38876	89427
303	39026	89349
304	39099	89094
305	39159	88812
306	39398	88934
307	39558	88879
308	39627	88616
309	39840	88676
310	39980	88574
311	40191	88628
312	40432	88745
313	40518	88521
314	40578	88241
315	40623	87931
316	40677	87642
317	40773	87444
318	40905	87325
319	41120	87381
